1,53,91,62,206,68
2,68,100,54,222,74
3,61,96,82,239,79
4,61,97,73,231,77
5,89,78,67,234,78
6,85,55,61,201,67
7,83,66,81,230,76
8,61,91,73,225,75
9,55,52,58,165,55
10,91,92,100,283,94
11,62,63,95,220,73
12,54,63,60,177,59
13,52,82,80,214,71
14,59,60,60,179,59
15,84,91,88,263,87
16,78,92,88,258,86
17,93,82,92,267,89
18,86,84,57,227,75
19,76,79,82,237,79
20,57,96,97,250,83
21,70,73,74,217,72
22,94,62,75,231,77
23,72,89,89,250,83
24,74,76,92,242,80
25,70,59,74,203,67
26,63,74,62,199,66
27,75,100,73,248,82
28,72,51,93,216,72
29,57,75,86,218,72
30,59,99,67,225,75
